estado,id_tienda,ciudad,codigo_postal,direccion,latitud,longitud,no_tienda,nombre
COA,51,Torreon,27010,"Indepenpencia Boulevard #1300, Col Navarro",25.58,-103.41,32164-119622,Torreon Cimaco
COA,52,Torreon,27105,"Autopista Torreon San Pedro #505, Fracc. Santa Barbara",25.58,-103.42,21277-209762,Plaza 505 Torreon
COA,53,Torreon,27250,"Paseo de la Rosita S/N Col Campestre la, Rosita C.P. 27250",25.52,-103.42,32421-119577,La Rosita
COL,54,Colima,28010,"Av. Felipe Sevilla del Rio No. 351, Reyes, Col. Jardines Vista Hermosa",19.25,-103.71,1363-139187,Colima Sevilla
COL,55,Manzanillo,28867,"Blvd. Miguel de la Madrid No. 8714, Fracc. 01",19.1,-104.33,32753-139193,Manzanillo Blvd Madrid
DIF,56,Ciudad de Mexico,5129,"de la Industria Militar 1296,, Lomas de Chamizal, Cuajimalpa",19.39,-99.26,22854-225484,STIM
DIF,57,Ciudad de Mexico,11570,"Homero n.503, Col. Chapultepec Morales, Del. Miguel Hidalgo",19.44,-99.19,20484-206205,EMERSON
DIF,58,Ciudad de Mexico,1030,"Palanque s/n, Col. Narvarte",19.4,-99.15,19758-198607,Narvarte
DIF,59,Ciudad de Mexico,10200,AV SAN JERONIMO 819 COL SAN JERONIMO,19.32,-99.23,23728-232709,Pasaje San Jeronimo
DIF,60,Ciudad de Mexico,14050,RENATO LEDUC 224 COL TORIELLO GUERRA,19.3,-99.16,23997-234584,RENATO LEDUC
DIF,61,Ciudad de Mexico,11590,"Melchor Ocampo n.453 Col. Anzures, Del. Miguel Hidalgo",19.42,-99.18,20438-205552,Melchor Ocampo
DIF,62,Ciudad de Mexico,6350,"Norte Mosqueta 259, Esq. Insurgentes N, Delegacion Cuauhtemoc",19.49,-99.13,18278-188665,Forum Buenavista
DIF,63,Ciudad de Mexico,14330,"Canaverales #222, Col. Granjas Coapa, Del. Tlalpan",19.29,-99.11,20394-205054,Pabellon Cuemanco
DIF,64,Ciudad de Mexico,2300,"Calzada Vallejo numero 1090, Colonia Industrial Vallejo",19.49,-99.15,23627-224864,Via Vallejo
DIF,65,Ciudad de Mexico,,"Pedregal #24, Colonia Molino del Rey",19.33,-99.2,29168-252829,Torre Virreyes
DIF,66,Ciudad de Mexico,,"Av. Madero esquina Bolivar, Bolivar Centro Historico Cd Mex",19.44,-99.14,28751-250945,Madero II
DIF,67,Ciudad de Mexico,14240,"Carretera Picacho Ajusco n.557, Col. Lomas de Padierna",19.28,-99.21,22783-224824,Picacho
DIF,68,Ciudad de Mexico,11000,"Monte Pelvoux No.210, Lomas Chapultepec",19.43,-99.2,22780-224829,Monte Pelvoux
DIF,69,Ciudad de Mexico,3500,"Calzada de Tlalpan 564, Col Tlalpan Nativitas",19.34,-99.15,29815-224825,Calzada de Tlalpan
DIF,70,Ciudad de Mexico,6500,"Rio Lerma n. 303, Col. Cuauhtemoc, Del. Cuauhtemoc",19.43,-99.18,21983-216624,SPA
DIF,71,Ciudad de Mexico,11510,"Moliere esquina Cervantes Saavedra, Moliere esq C. Saavedra Col Granada",19.44,-99.2,47987-260826,Miyana
DIF,72,Ciudad de Mexico,52763,"Vialidad de la Barranca No. 22, Col. Valle de las Palmas",19.39,-99.28,16464-171705,Hospital Angeles Interlomas
DIF,73,Ciudad de Mexico,11590,"Mariano Escobedo No.476, Anzures",19.43,-99.18,22784-224830,Torre Polanco
DIF,74,Ciudad de Mexico,4310,"Avenida Universidad numero 1778, Col. Romero de Terreros, Del. Coyoacan",19.35,-99.18,25665-241989,Oasis II - PA
DIF,75,Ciudad de Mexico,2080,"Egipto #142 Col. Claveria, Delegacion Azcapotzalco",19.46,-99.18,22776-224835,Patio Claveria
DIF,76,Ciudad de Mexico,,"Av. Ejercito Nacional 843, Local H 103, Col. Granada Delegación Miguel Hidalgo",19.44,-99.2,25656-241988,Antara II
DIF,77,Ciudad de Mexico,7950,Av 510 n.340 Pueblo Sn Juan de Aragon,19.47,-99.08,21180-209747,Bosque de Aragon
DIF,78,Ciudad de Mexico,11250,"Calzada Legaria N 549, Col. Diez de Abril",19.45,-99.21,22542-222084,Plaza Rio San Joaquin
DIF,79,Ciudad de Mexico,11320,Lago Alberto No. 320 Colonia Anahuac,19.44,-99.18,26554-244510,BBVA
DIF,80,Ciudad de Mexico,3810,"Obrero Mundial 296 Narvarte, Benito Juarez",19.4,-99.16,26376-237921,Obrero Mundial
